epoch,train_loss,train_iou,train_corner_err_px,val_loss,val_mean_iou,val_median_iou,val_corner_error_px,val_corner_error_p95_px,val_recall_90,val_recall_95,val_recall_99,val_cls_f1,val_cls_accuracy,lr,loss_gap,epoch_time
11,4.313760280609131,0.9844904541969299,0.6266806721687317,4.34097146987915,0.9834483203502155,0.9883553198024753,1.0559985637664795,2.671217966079711,0.989639344262295,0.964983606557377,0.36931147540983605,0.9998033173801875,0.9996529786003471,4.796044777322095e-06,0.02721118927001953,927.9249861240387
12,4.313417434692383,0.9845197796821594,0.6228551268577576,4.340802192687988,0.983334867774043,0.9883200467024575,1.0631517171859741,2.6879619717597962,0.9895081967213115,0.9652459016393443,0.3711475409836066,0.999803291587437,0.9996529786003471,4.1094226617133245e-06,0.02738475799560547,927.1860287189484
13,4.312984943389893,0.9844902753829956,0.6253384947776794,4.340432643890381,0.983413322929228,0.9884517573740311,1.0562294721603394,2.6717491745948783,0.9895081967213115,0.9645901639344262,0.37836065573770494,0.999803291587437,0.9996529786003471,3.4570434763736557e-06,0.02744770050048828,928.1840300559998
14,4.312839984893799,0.9846148490905762,0.6209725141525269,4.340738773345947,0.9835345308247235,0.988530413502873,1.053442358970642,2.6586071491241445,0.9892459016393442,0.9648524590163935,0.3880655737704918,0.999803291587437,0.9996529786003471,2.854966623999644e-06,0.027898788452148438,928.1084747314453
15,4.312460422515869,0.9847047924995422,0.6168175935745239,4.3402323722839355,0.9835503090564348,0.9884619529169112,1.0512615442276,2.6536129951477045,0.9900327868852459,0.9655081967213115,0.38045901639344265,0.999737739312877,0.9995373048004627,2.3180195967142936e-06,0.027771949768066406,932.766893863678
16,4.311940670013428,0.9846941232681274,0.6155678033828735,4.340042591094971,0.9834185113758299,0.9883884207121596,1.0584793090820312,2.67258620262146,0.9895081967213115,0.9641967213114754,0.3820327868852459,0.999737739312877,0.9995373048004627,1.8594232642499264e-06,0.02810192108154297,933.4826209545135
17,4.3120856285095215,0.9846875667572021,0.6158735752105713,4.340419769287109,0.9837061453266113,0.9885415498057246,1.0420547723770142,2.6295085191726675,0.9897704918032787,0.9657704918032787,0.39147540983606555,0.999803291587437,0.9996529786003471,1.4904703675711062e-06,0.02833414077758789,932.1958830356598
18,4.311893463134766,0.9847593307495117,0.6131797432899475,4.339962959289551,0.9834443351730087,0.9884404816550163,1.0572203397750854,2.663611388206481,0.989639344262295,0.9644590163934427,0.38045901639344265,0.9998033173801875,0.9996529786003471,1.2202458492538426e-06,0.028069496154785156,934.2862830162048
19,4.311655521392822,0.9847815036773682,0.6139071583747864,4.34017276763916,0.9834591720071407,0.988391925608997,1.0542218685150146,2.6505162000656126,0.9895081967213115,0.9652459016393443,0.3782295081967213,0.9998033173801875,0.9996529786003471,1.0554023219810915e-06,0.02851724624633789,934.0933430194855
20,4.311344146728516,0.9847748875617981,0.6153405904769897,4.340138912200928,0.9835912024152587,0.9884385069607372,1.0456281900405884,2.618269228935241,0.9897704918032787,0.9657704918032787,0.38124590163934424,0.999803291587437,0.9996529786003471,9.999999974752427e-07,0.02879476547241211,933.4822688102722
