epoch,train_loss,train_iou,train_corner_err_px,val_loss,val_mean_iou,val_median_iou,val_corner_error_px,val_corner_error_p95_px,val_recall_90,val_recall_95,val_recall_99,val_cls_f1,val_cls_accuracy,lr,loss_gap,epoch_time
1,4.321494102478027,0.9833149313926697,0.6783443093299866,4.3448805809021,0.9824934560929448,0.9879007948887761,1.1196084022521973,2.9002361416816687,0.9874098360655738,0.9598688524590164,0.3576393442622951,0.999803291587437,0.9996529786003471,9.944597877620254e-06,0.023386478424072266,985.6523840427399
2,4.320516109466553,0.9836007356643677,0.66202312707901,4.344350337982178,0.982467574566674,0.9877494585220378,1.1139696836471558,2.8514899134635923,0.988327868852459,0.9603934426229508,0.3377049180327869,0.9996066605480529,0.999305957200694,9.779754691408016e-06,0.023834228515625,962.5489521026611
3,4.319894790649414,0.9836548566818237,0.6615749001502991,4.343358039855957,0.9827264672371702,0.9877910473997435,1.1003119945526123,2.8102073669433576,0.9887213114754099,0.9620983606557377,0.3480655737704918,0.9998032657879206,0.9996529786003471,9.509530173090752e-06,0.02346324920654297,1073.4219028949738
4,4.318639278411865,0.9839444756507874,0.6485708355903625,4.342586040496826,0.9826984057381604,0.9879581172932109,1.105534553527832,2.805618119239807,0.988327868852459,0.9615737704918033,0.35475409836065575,0.999803291587437,0.9996529786003471,9.140577276411932e-06,0.023946762084960938,1134.7554731369019
5,4.318111896514893,0.9840232729911804,0.648749053478241,4.342145919799805,0.9827486617591392,0.9880526598418297,1.1005183458328247,2.7899635672569274,0.9888524590163934,0.9603934426229508,0.35672131147540986,0.9996065057712487,0.999305957200694,8.681980943947565e-06,0.02403402328491211,926.2281408309937
6,4.317288398742676,0.9840747714042664,0.6441501379013062,4.342257976531982,0.9825840431548281,0.9876658558585685,1.1019725799560547,2.791258466243744,0.9888524590163934,0.9611803278688524,0.3361311475409836,0.9996721096465342,0.9994216310005783,8.145034371409565e-06,0.02496957778930664,931.9835872650146
7,4.316857814788818,0.9840950965881348,0.6423231363296509,4.341454029083252,0.9832182084097217,0.9882286340227129,1.0726888179779053,2.7357761025428773,0.9893770491803279,0.9634098360655737,0.3702295081967213,0.9998688696564384,0.9997686524002314,7.542957064288203e-06,0.024596214294433594,1002.7493331432343
8,4.316172122955322,0.984251081943512,0.6353738903999329,4.341964244842529,0.983343299976931,0.9882545739013593,1.0622014999389648,2.694590306282043,0.989639344262295,0.9657704918032787,0.37036065573770494,0.9998688696564384,0.9997686524002314,6.890576514706481e-06,0.02579212188720703,926.8364496231079
9,4.315463542938232,0.9843702912330627,0.6341805458068848,4.341507434844971,0.9832709841007418,0.9882329994032871,1.062634825706482,2.7026027321815485,0.9895081967213115,0.9651147540983607,0.3652459016393443,0.9998688696564384,0.9997686524002314,6.203955308592413e-06,0.02604389190673828,925.3096451759338
10,4.314759731292725,0.9843050241470337,0.633143424987793,4.341331958770752,0.9829497693239707,0.9881006417684647,1.0857553482055664,2.7379031300544736,0.9884590163934426,0.9630163934426229,0.3597377049180328,0.999737739312877,0.9995373048004627,5.499999588209903e-06,0.026572227478027344,925.6100790500641
