epoch,train_loss,train_iou,train_corner_err_px,val_loss,val_mean_iou,val_median_iou,val_corner_error_px,val_corner_error_p95_px,val_recall_90,val_recall_95,val_recall_99,val_cls_f1,val_cls_accuracy,val_hard_mean_iou,val_hard_median_iou,val_hard_corner_error_px,val_hard_recall_95,val_hard_num_with_doc,lr,loss_gap,epoch_time
1,4.9105224609375,0.7493285536766052,11.8650484085083,4.521046161651611,0.8580897592968036,0.894229813156443,8.53101634979248,28.85060415267943,0.45914754098360655,0.05232786885245902,0.00013114754098360657,0.9996720666360596,0.9994216310005783,,,,,,9.939057053998113e-05,-0.38947629928588867,985.6965930461884
2,4.51655912399292,0.9159013032913208,3.450132131576538,4.444073677062988,0.9242337051060077,0.9473791426512491,4.653323173522949,15.461524105072021,0.8098360655737705,0.464655737704918,0.0007868852459016393,0.9997376361012725,0.9995373048004627,,,,,,9.75772927631624e-05,-0.07248544692993164,942.491054058075
3,4.459531307220459,0.9451718926429749,2.200556755065918,4.415843486785889,0.9469434504321198,0.9667447537568926,3.289322853088379,10.93437576293945,0.8882622950819672,0.702688524590164,0.01560655737704918,0.9996066089693156,0.999305957200694,,,,,,9.460481669520959e-05,-0.04368782043457031,952.1551291942596
4,4.425771236419678,0.9583203196525574,1.665008306503296,4.398988723754883,0.9618286400367099,0.9747676279283558,2.365513324737549,7.530735921859741,0.940327868852459,0.8192786885245902,0.053901639344262293,0.9996720666360596,0.9994216310005783,,,,,,9.054633846972138e-05,-0.026782512664794922,942.1504797935486
5,4.4020094871521,0.9669442772865295,1.3129676580429077,4.386216640472412,0.9611615431118443,0.9756792671842079,2.444119930267334,7.924774718284606,0.9353442622950819,0.8154754098360656,0.05862295081967213,0.9996722386102918,0.9994216310005783,,,,,,8.550178608857095e-05,-0.0157928466796875,946.5862550735474
6,4.385936260223389,0.9714789986610413,1.1403579711914062,4.376307487487793,0.9749296582337623,0.9830823798103238,1.5568898916244507,4.503151917457579,0.9756065573770492,0.915016393442623,0.1597377049180328,0.999803291587437,0.9996529786003471,,,,,,7.959536742419004e-05,-0.009628772735595703,939.3714072704315
7,4.37441873550415,0.9750655889511108,1.0020272731781006,4.375725269317627,0.9728748230312902,0.9813981536949623,1.7260057926177979,5.017997026443478,0.9721967213114754,0.8992786885245901,0.1358688524590164,0.999803291587437,0.9996529786003471,,,,,,7.297252886928618e-05,0.0013065338134765625,938.9132678508759
8,4.365074157714844,0.9769477248191833,0.924342930316925,4.363415241241455,0.9755825355367561,0.983142282176324,1.5370973348617554,4.3455641746520985,0.9762622950819673,0.9186885245901639,0.1799344262295082,0.9998688696564384,0.9997686524002314,,,,,,6.579633918590844e-05,-0.0016589164733886719,941.3745789527893
9,4.355090141296387,0.9790486097335815,0.8414709568023682,4.358203411102295,0.9776892002657966,0.9846272107367815,1.4062083959579468,3.777254486083983,0.9804590163934426,0.9342950819672131,0.20695081967213114,0.9998032399816358,0.9996529786003471,,,,,,5.824350955663249e-05,0.003113269805908203,943.1750540733337
10,4.348052024841309,0.9801381826400757,0.7948446869850159,4.356356620788574,0.9799224937624561,0.9860651789221954,1.2751413583755493,3.4146197199821464,0.9836065573770492,0.9451803278688524,0.2851147540983607,0.9996720666360596,0.9994216310005783,,,,,,5.049999526818283e-05,0.008304595947265625,943.4644587039948
11,4.341852188110352,0.9811556935310364,0.755500316619873,4.354841232299805,0.9813228104597871,0.9869410745744619,1.180748701095581,3.132323837280273,0.9866229508196721,0.9539672131147541,0.30963934426229506,0.9999344305291455,0.9998843262001157,,,,,,4.275648825569078e-05,0.012989044189453125,946.1248052120209
12,4.3366923332214355,0.9821750521659851,0.7095127105712891,4.347213268280029,0.9823078871133948,0.9873671186755995,1.1144790649414062,3.0026149868965146,0.9888524590163934,0.9588196721311475,0.32839344262295084,0.9999344305291455,0.9998843262001157,,,,,,3.5203647712478414e-05,0.01052093505859375,937.1067609786987
13,4.332759857177734,0.9828110933303833,0.6855760216712952,4.345269203186035,0.9825922113926511,0.9876702515086059,1.1061192750930786,2.921764206886291,0.9881967213114754,0.9603934426229508,0.336655737704918,0.9999344219293068,0.9998843262001157,,,,,,2.8027474400005303e-05,0.012509346008300781,939.8213093280792
14,4.328422546386719,0.9834330677986145,0.6635032892227173,4.347266674041748,0.9830285288508082,0.9877920255007501,1.067875862121582,2.782489359378814,0.989639344262295,0.9622295081967213,0.3619672131147541,0.9998688524590164,0.9997686524002314,,,,,,2.1404634026112035e-05,0.018844127655029297,942.0536382198334
15,4.326037883758545,0.9836441874504089,0.6528729200363159,4.3439130783081055,0.9832468502440015,0.9880241589919728,1.0583820343017578,2.784462785720825,0.9897704918032787,0.9623606557377049,0.36550819672131146,0.9998688524590164,0.9997686524002314,,,,,,1.5498213542741723e-05,0.017875194549560547,1052.1509430408478
16,4.323483467102051,0.9839769005775452,0.635527491569519,4.3442254066467285,0.9835141489454142,0.9880967813655765,1.042587399482727,2.7177215218544006,0.9905573770491803,0.9638032786885246,0.3706229508196721,0.9999344219293068,0.9998843262001157,,,,,,1.0453655704623088e-05,0.020741939544677734,949.9268710613251
17,4.321382999420166,0.9843236207962036,0.623720109462738,4.341577529907227,0.9837322316649666,0.9883249965758212,1.0314302444458008,2.646975779533386,0.9905573770491803,0.9659016393442623,0.3763934426229508,0.9999344219293068,0.9998843262001157,,,,,,6.395173386408715e-06,0.020194530487060547,932.2914061546326
